books,lesson,Title,word,translation,level
aa,1,At the Lake,boat,船,1
aa,1,At the Lake,dock,甲板,1
aa,1,At the Lake,fish,魚,1
aa,1,At the Lake,lake,湖,1
aa,1,At the Lake,rock,石頭,1
aa,1,At the Lake,swimsuit,泳衣,1
aa,2,The Backyard,backyard,後院,1
aa,2,The Backyard,fence,籬笆,1
aa,2,The Backyard,dog,狗,1
aa,2,The Backyard,swing,鞦韆,1
aa,2,The Backyard,ball,球,1
aa,2,The Backyard,flower,花,1
aa,2,The Backyard,tree,樹,1
aa,2,The Backyard,hose,水管,1
aa,3,The Baseball Game,base,壘包,1
aa,3,The Baseball Game,baseball,棒球,1
aa,3,The Baseball Game,bat,球棒,1
aa,3,The Baseball Game,helmet,頭盔,1
aa,3,The Baseball Game,team,隊伍,1
aa,3,The Baseball Game,uniform,制服,1
aa,4,Big,house,房子,1
aa,4,Big,dog,狗,1
aa,4,Big,car,車,1
aa,4,Big,bus,巴士,1
aa,4,Big,tree,樹,1
aa,4,Big,elephant,大象,1
aa,4,Big,dinosaur,恐龍,1
aa,5,The Birthday Party,birthday,生日,1
aa,5,The Birthday Party,balloon,氣球,1
aa,5,The Birthday Party,candle,蠟蠋,1
aa,5,The Birthday Party,gift,禮物,1
aa,5,The Birthday Party,guest,訪客,1
aa,5,The Birthday Party,singing,唱歌,1
aa,6,Black,cape ,披風,1
aa,6,Black,suit,西裝,1
aa,6,Black,sheet,床單,1
aa,6,Black,tie,領結,1
aa,6,Black,stage,舞台,1
aa,6,Black,wand,魔法棒,1
aa,6,Black,rabbit,免子,1
aa,7,Blue,bench,長椅,1
aa,7,Blue,bike,腳踏車,1
aa,7,Blue,blue,藍色,1
aa,7,Blue,bottle,水瓶,1
aa,7,Blue,helmet,頭盔,1
aa,7,Blue,playground,遊樂場,1
aa,7,Blue,sky,天空,1
aa,7,Blue,slide,溜滑梯,1
aa,7,Blue,swing,鞦韆,1
aa,8,The Book,front cover,封面,1
aa,8,The Book,back cover,封底,1
aa,8,The Book,title,標題,1
aa,8,The Book,page,頁,1
aa,8,The Book,word,單字,1
aa,8,The Book,letter,字母,1
aa,8,The Book,page number,頁數,1
aa,9,The Book store,door,門,1
aa,9,The Book store,room,空間,1
aa,9,The Book store,helpers,服務員,1
aa,9,The Book store,chair,椅子,1
aa,9,The Book store,story,故事,1
aa,9,The Book store,snack,零食,1
aa,9,The Book store,bookstore,書店,1
aa,10,The Chicken,beak,雞冠,1
aa,10,The Chicken,feather,羽毛,1
aa,10,The Chicken,wing,翅膀,1
aa,10,The Chicken,tail,尾巴,1
aa,10,The Chicken,leg,腳,1
aa,10,The Chicken,feet,腳掌,1
aa,10,The Chicken,egg,蛋,1
aa,11,Christmas Eve,meal,餐點,1
aa,11,Christmas Eve,eggnog,蛋酒,1
aa,11,Christmas Eve,tree,樹,1
aa,11,Christmas Eve,card,卡片,1
aa,11,Christmas Eve,present,禮物,1
aa,11,Christmas Eve,stocking,長筒襪,1
aa,11,Christmas Eve,cookies,餅乾,1
aa,12,City Street,taxi,計程車,1
aa,12,City Street,bus,巴士,1
aa,12,City Street,people,人,1
aa,12,City Street,street,街道,1
aa,12,City Street,building,建築物,1
aa,12,City Street,food,食物,1
aa,12,City Street,sidewalk,人行道,1
aa,12,City Street,steps,階梯,1
aa,13,The City,car,車,1
aa,13,The City,bus,巴士,1
aa,13,The City,store,商店,1
